"bonus part 1 question","bonus part 1 answer","bonus part 2 question","bonus part 2 answer","bonus part 3 question","bonus part 3 answer"
"Like all ultra-diffuse galaxies, DF2 has an extremely low luminosity and thus emits very little of this phenomenon, which is carried by photons.","light [accept electromagnetic waves or equivalents]","DF2 is a candidate for the first known galaxy with none of this substance. Vera Rubin found evidence for this substance from its gravitational effect on galaxy rotation curves.","dark matter [reject “dark energy”]","DF2 is also known for having an extremely luminous population of these large, spherical star clusters that are rich in Population II [two] stars.","globular [GLOB-yoo-lur] clusters <Astronomy — Joy An> [Ed. June Yin]"
"Ostalgie is nostalgia for things made in this country. The “chemical breakdown” tactics of psychological torture were used by this country’s Stasi secret police.","East Germany [or German Democratic Republic; or GDR; or Deutsche Demokratische Republik; or DDR; reject “West Germany”; reject “Federal Republic of Germany”; reject “Germany” alone]","Ostalgie includes a fondness for one of these products called Vita. In Nazi Germany, a formula for this product called Fanta was created after a trade embargo with Coke.","soda [accept pop; accept Vita Cola]","A caricature of this leader in a straw hat appeared on East German traffic lights and is appreciated by Ostalgie enjoyers. This last head of state of East Germany was depicted kissing Leonid Brezhnev in a Berlin Wall mural.","Erich Honecker <European History — Ganon Evans> [Ed. Louis Li]"
"You might use this flexible electronic instrument championed by Wendy Carlos that creates waveforms and uses filters and envelopes to change its characteristics.","synthesizer [accept specific types of synthesizers such as analog synthesizer or Moog synthesizer]","Like violins, most synthesizers are able to produce sounds with varying levels of this property. This property related to frequency determines how ""low"" or ""high"" a sound is.","pitch","You might use low-frequency oscillations to emulate this effect on a synthesizer. Violinists create this pulsating change in pitch by wobbling their fingers from side to side.","vibrato <Auditory Fine Arts — Vincent Wang> [Ed. Ganon Evans]"
"Name this business model, in which trendy clothing styles are mass-produced and cycled rapidly through retail stores. Brands that follow this business model include Zara and H&M.","fast fashion","Diane von Fürstenberg, Gwen Stefani, and Anna Sui are among the many designers that have sued this fast fashion brand for copying their designs. This brand gives customers bright yellow plastic bags with John 3:16 printed on the bottom.","FOREVER 21","Alternatives to partaking in fast fashion include shopping at these stores that recycle donated clothes. Examples of these stores include Salvation Army and Goodwill.","thrift stores [or thrift shops; or charity shops; or opportunity shops] <Other — Joy An> [Ed. Ganon Evans]"
"Name this man, who refers to his intelligence as his “little grey cells.” In one novel, this character unknowingly encounters the gangster Lanfranco Cassetti.","Hercule Poirot [pwaa-ROH]","In this novel, Poirot solves a murder while stranded in Croatia due to a snowdrift. In this novel, it is determined that all twelve possible suspects in the stabbing of Samuel Ratchett committed the crime.","Murder on the Orient Express","Murder on the Orient Express is a crime novel by this English writer. This prolific murder mystery author also created Miss Marple.","Agatha Christie [or Agatha Mary Clarissa Christie; accept Agatha Mary Clarissa Miller] <Long Fiction — Vik Wei> [Ed. Joel Miles]"
"In contrast to a galvanic cell, an electrolytic cell requires energy to be inputted because the change in this quantity is greater than zero, meaning the reaction is not spontaneous.","Gibbs free energy [prompt on delta G]","The Caster-Kellner process uses electrolysis to isolate sodium and chlorine from salt water, using a cathode of this metal that is liquid at room temperature.","mercury [or Hg]","This English scientist pioneered the use of electrolysis to isolate various metals. This man discovered sodium, potassium, and calcium, among other elements.","(Sir) Humphry Davy <Chemistry — June Yin> [Ed.]"
"Name this archipelago where the spice trade center of Stone Town can be found on Unguja island. This archipelago’s House of Wonders was a palace where Omani sultans ruled over the coast of modern-day Tanzania.","Zanzibar [or Zanjibar]","Down the coast from Zanzibar is this island home to the Malagasy people and the lemur. The Avenue of the Baobabs is also located in this country, which is across the Mozambique Channel from mainland Africa.","Madagascar [or Republic of Madagascar or Republique de Madagascar or Repoblikan'i Madagasikara]","A flaperon from Malaysian Airlines Flight 370 was found on this island, around 400 miles east of Madagascar. This French overseas territory with its capital of Saint-Denis is located near Mauritius.","Réunion Island <Geography — Andrew Gao> [Ed. Ganon Evans]"
"After a 1932 coup in which Phibun came to power in this country governed from Bangkok, he changed its official name from Siam to a name meaning “land of the free.”","Thailand [or Kingdom of Thailand; or Ratcha-anachak Thai]","After a failed monarchist revolt, Phibun installed to the throne a boy studying in Switzerland, Ananda Mahidol, who then gained this regnal name. The current king of Thailand also has this regnal name.","Rama [accept Rama VIII; accept Rama X]","During World War II, Phibun negotiated an alliance with this country, allowing its troops to pass through Thailand during the Burma Campaign.","Japan [or Nihon-koku; or Nippon-koku; or Empire of Japan; or Dai Nippon Teikoku; or Japanese Empire] <World History — June Yin> [Ed. Louis Li]"
"Name this Islamic artform in which a kalam pen is used to create artistic handwriting in ink.","calligraphy [accept word forms like calligraphic writing; prompt on writing alone]","Ilkhanid artists incorporated calligraphy into depictions of the Shahnameh in these artworks. Marginalia and heavy use of gold foil appear in these artworks, which include the Lindisfarne Gospel and Books of Hours.","illuminated manuscripts [prompt on partial answers; prompt on codex , codices , book s or similar answers referring to writing collections]","The calligraphic signature of Syrian artisan ibn al-Zayn appears on a silver object used for this purpose named after Saint Louis. Lorenzo Ghiberti sculpted the Gates of Paradise for a building with this purpose.","baptisms [accept word forms such as baptizing people; accept the Baptistère de Saint Louis; accept the Florence Baptistery; accept the Baptistery of St. John] <Visual Fine Arts — Ganon Evans> [Ed. Gabe Forrest]"
"Name this Old English word. It opens a work that describes the “Spear-Danes in days gone by.”","Hwæt [“wet”]","Seamus Heaney, an author from this country, translated “Hwæt!” as “So!” in his version of Beowulf. Jonathan Swift suggested that residents of this island eat their babies amidst a famine that preceded a potato blight.","Ireland [or Republic of Ireland or Eire]","This author described “Hwæt!” as “a note ‘striking up’ at the beginning of a poem” and translated it as “Lo!” This author of The Silmarillion gave the lecture “Beowulf: the Monsters and the Critics.”","J.R.R. Tolkien [or John Ronald Reuel Tolkien] <Mixed Literature — Joy An> [Ed. Joel Miles]"
"Name this economic crisis that was partially caused by the collapse of the housing bubble. The term “too big to fail” describes bailouts during this crisis.","Great Recession of 2008 [accept the 2007 Recession; accept the 2008 Recession; accept the 2007 Financial Crisis; accept the 2008 Financial Crisis; prompt on a recession or financial crisis with “In what year?”]","In response to the Great Recession, this then-Harvard professor pushed for more bank regulation through the Consumer Financial Protection Bureau. In 2012, this progressive defeated Scott Brown to become a Massachusetts senator.","Elizabeth Warren","This economist was Chair of the Federal Reserve during the Great Recession. This economist promoted quantitative easing and encouraged the Federal Reserve to buy over $500 billion in mortgage-backed securities from banks.","Ben Bernanke [or Ben Shalom Bernanke] <American History — Connor Lee> [Ed. Louis Li]"
"Name this now-bankrupt drug company that pleaded guilty in 2007 to misleading the public about the addictiveness of OxyContin.","Purdue Pharma","Purdue Pharma’s overprescription of OxyContin has contributed to the ongoing “epidemic” related to this pain-relieving class of drugs, which includes heroin and fentanyl.","opioids [accept opioid epidemic]","In May 2022, Illinois Governor J.B. Pritzker signed a bill eliminating co-pays on this opioid antagonist delivered nasally to victims of overdoses. You may give either the drug’s name or the brand name.","naloxone or Narcan <Current Events – Ganon Evans> [Ed. Connor Lee]"
"This medication is made by adding an acetyl [uh-SEE-til] group to salicylic acid. This drug can be used to treat Kawasaki syndrome.","aspirin [prompt on acetylsalicylic acid or ASA]","Salicylic acid can also serve as a precursor to methyl salicylate [suh-LIH-suh-layt], one of these compounds that smells strongly of wintergreen. These derivatives of organic acids often have distinctive fruity smells.","esters [ESS-turz] [accept methyl esters]","In the Fischer esterification of salicylic acid, it is reacted with methanol, the simplest one of these compounds. An –OH group is present in these compounds that include ethanol.","alcohols [accept primary alcohols] <Chemistry — Joy An> [Ed. June Yin]"
"In Franz Kafka’s story “A Hunger Artist,” the title character starves to death in his cage after taking this action for 40 days, after which he is replaced by a panther. This action involves not eating for a prolonged period of time.","fasting","A panther “paces in cramped circles” “like a ritual dance around a center” in a poem by this poet. This poet asked “Who, if I cried out, would hear me among the angelic orders?” in the first of his Duino Elegies.","Rainer Maria Rilke [or René Karl Wilhelm Johann Josef Maria Rilke] [RYE-ner muh-REE-uh RIL-kuh]","Claire Zachanassian arrives with a caged panther that escapes in The Visit, by Friedrich Dürrenmatt, who is from this country. A character who spends seven years in this country notices a humanist’s name contains seven in Italian.","Switzerland [or Swiss Confederation or Schweiz or Suisse or Svizzera or Svizra or Schweizerische Eidgenossenschaft or Confederation Suisse or Confederazione Svizzera or Confederaziun Svizra] (The humanist is Ludovico Settembrini from Thomas Mann’s novel The Magic Mountain.) <Mixed Literature — Andrew Gao> [Ed. Joel Miles]"
"Before her death in the Holocaust, Edith Stein published Finite and Eternal Being, the culmination of her attempt to synthesize phenomenology with the work of this author of the Summa Theologica.","(Saint) Thomas Aquinas [or Doctor Angelicus or Doctor Communis; prompt on Saint Thomas]","This British ethicist was also influenced by Aquinas. This author of the paper “Modern Moral Philosophy” followed Frank Ramsey in translating much of Ludwig Wittgenstein’s [VIT-gun-shtyne’s] work into English while at Cambridge.","G.E.M. Anscombe [or Gertrude Elizabeth Margaret Anscombe or Elizabeth Anscombe]","In a letter to her priest, Simone Weil [vay] wrote that she became a devout Christian while traveling the world in support of this ideology. This political philosophy seeks to abolish the government.","anarchism [accept word forms like anarchy] <Philosophy — Joel Miles> [Ed.]"
"This artist's work Comedian, which consisted of a banana duct-taped to a wall, was eaten by ""hungry artist"" David Datuna. This artist also assembled an 18-karat gold toilet titled America.","Maurizio Cattelan","A Banksy work titled Girl with [this object] was intentionally shredded by its frame after being sold at an auction, after which it was renamed Love is in the Bin.","balloon","Banksy hails from this country. In 2003, Banksy entered its Tate Gallery disguised as a pensioner to display a police-tape-covered landscape painting whose imagery was borrowed from this country’s artist John Constable.","United Kingdom [or Great Britain; or the U.K.; or the United Kingdom of Great Britain and Northern Island; prompt with England with “Can you be less specific?”] <Visual Fine Arts — Vincent Wang> [Ed. Gabe Forrest]"
"Name this author of The Gospel According to Jesus Christ. In another novel by this author, everybody but the doctor’s wife is afflicted with the title plague of Blindness.","José Saramago [or José de Sousa Saramago]","José Saramago was born in this Iberian country. One work by Saramago describes an alternate history of this country in which crusaders did not help capture its city of Lisbon.","Portugal [or the Portuguese Republic or República Portuguesa] (The book is The History of the Siege of Lisbon.)","In this José Saramago novel, the Iberian peninsula breaks off from Europe and floats into the Atlantic Ocean. Characters in this novel include “The King of Starlings,” a girl who finds an endless ball of yarn, and a mute dog.","The Stone Raft [or A Jangada de Pedra] <Long Fiction — Connor Lee> [Ed. Joel Miles]"
"This rainforest has naturally recovered land about the size of the United Kingdom amidst deforestation largely caused by cattle ranchers. This South American rainforest is the largest in the world.","Amazon Rainforest","The Three-North Shelterbelt Program has been an effort to stop the expansion of this desert by planting trees. This desert is home to the endangered Przewalski [per-zhuh-VAL-skee] horse and the brown bear relative of the Mazaalai.","Gobi Desert","The grassroots Green Belt Movement to stop the growth of the Sahara was founded by a person from this country, Wangari Maathai. This country home to the Kikuyu and Luo people is the northernmost country where the Maasai people migrate.","Kenya [or the Republic of Kenya; or Jamhuri ya Kenya] <Geography — Andrew Gao> [Ed. Ganon Evans]"
"Name this region that a leader predicted “some damned fool thing” would come out of in a speech that dubbed this region the “Powder Keg of Europe.”","Balkans [accept Balkan Peninsula]","Calling the Balkans a “powder keg” was one of many quips by this “Iron Chancellor” who plotted the unification of Germany.","Otto von Bismarck","The Balkan League’s attack followed a 1908 revolution by this movement that forced Sultan Abdul Hamid II to restore the Ottoman Constitution. This group perpetrated a genocide that involved many being sent on death marches into the Syrian desert.","Young Turks Movement [or Jöntürkler; accept Committee of Union and Progress or CUP] <European History — Ganon Evans> [Ed. Louis Li]"
"Name this task that is accomplished by Dijkstra’s [DIKE-struh’s] algorithm. The traveling salesman problem is a variation of this task.","pathfinding [accept equivalents like finding the shortest path]","Pathfinding algorithms must be performed on these kinds of graphs, in which each edge of the graph has an associated numerical value.","weighted graphs","Pathfinding algorithms are classified as this general type of algorithm, whose types include binary and linear. Namesake “engines” use these algorithms to return results from the internet.","search [accept search engines] <Vincent Wang — Computer Science> [Ed. Jason Xu]"
"You encounter a family traveling from Nauvoo, Illinois to this territory. Brigham Young allowed polygamy amongst the Mormon settlers he led to this territory.","Utah Territory [accept the State of Deseret]","As you eat some chunky bison soup, you shudder thinking of this 1846 expedition that took the Hastings Cutoff to reach California, but resorted to cannibalism after being trapped in the Sierra Nevada mountains.","Donner Party [or the Donner-Reed Party]","Your wagons are rescued from a river by members of this tribe, who allied with the Arapaho people under leaders like Black Kettle. This tribe names the capital of the state that contains Fort Laramie.","Cheyenne [accept specific branches such as the Northern or Southern Cheyenne; or Tsitsistas; or Tsétsêhéstâhese; or Notameohmésêhese; or Sutaio, or Heévâhetaneo’o] <American History — Ganon Evans> [Ed. Louis Li]"
"Name this poet, who described “a Book of Verses underneath the Bough, a Jug of Wine, a Loaf of Bread–and Thou” in one work.","Omar Khayyam","One poem from Khayyam’s Rubaiyat describes a “potter thumping” some of this substance. Another poem from the Rubaiyat describes being surrounded by “shapes” of this substance, which can be shaped on a pottery wheel.","clay","In a poem from the Rubaiyat, one of these things says, “lo laughing, into the world I blow.” In another poem, one of these objects is cultivated “in June as in January.”","a rose [accept “I Cultivate a White Rose” or ‘Cultivo Una Rosa Blanca”; prompt on “flower”] <Poetry — Joy An> [Ed. Joel Miles]"
"Name these shapes that have only one side. They can be made by twisting a strip of paper and gluing together the ends.","Möbius strips","Möbius strips are some of the non-orientable surfaces studied in this branch of mathematics. This field, loosely the study of shapes, examines properties that are invariant under continuous deformations like stretching and twisting.","topology","This other non-orientable surface is formed by twisting one end of a cylinder inside-out and gluing together the ends. This shape, which cannot be constructed without self-intersection in three dimensions, also only has one side.","Klein bottle <Math — Joy An> [Ed.]"
"Name this profession governed by the WBF whose practitioners follow tips from Lou Ferrigno and Eugene Sandow’s “Grecian Ideal,” as well as the techniques of bulking and cutting.","bodybuilding [accept bodybuilders; prompt on weightlifters or weightlifting]","The documentary Pumping Iron followed this bodybuilder on a quest for a Mr. Olympia title. This actor was elected Governor of California after starring in movies such as The Terminator.","Arnold Schwarzenegger [prompt on Arnold; begrudgingly accept any answers done in a bad accent]","This author judged the first bodybuilding competition in London in 1904. Fans convinced this author to bring back a character who fell off the Reichenbach Falls in the story “The Final Problem.”","(Sir) Arthur Conan Doyle (The character is Sherlock Holmes.) <Other — Ganon Evans> [Ed.]"
"Name this British-Iraqi architect, whose Zaragoza Bridge Pavilion has 26,000 triangular shingles and whose Guangzhou Opera House resembles “two pebbles” being washed away by the Pearl River.","Zaha Hadid","Hadid also designed the London Aquatics Centre, which was the venue for the swimming, diving, and synchronized swimming events in the 2012 edition of this athletic competition.","(2012) Summer Olympics [accept the Olympic Games]","Hadid designed this state’s Contemporary Arts Center. I.M. Pei designed two glass pyramid “tents” for this state's Rock and Roll Hall of Fame.","Ohio [accept OH] <Other Fine Arts — Neal Joshi> [Ed. Ganon Evans]"
"Anthropologists popularized the inaccurate idea that members of what Haitian religion stick pins in dolls?","voodoo [or vodun; or vodoun; accept voodoo dolls]","Offering grilled steak and potatoes catches the attention of this lwa who appears as an old man with a cane, straw hat, and dog. This lwa offers to communicate with spirits at crossroads.","Papa Legba","Communicating with the orisha of love, Oshun, involves leaving offerings at these places. The largest gathering of humans in the world is the Kumbh Mela [cumb MAY-luh], a Hindu pilgrimage to one of these places that has issues with pollution.","rivers [accept streams; prompt on bodies of water; prompt on the Ganges] <Religion — Ganon Evans> [Ed.]"
"Name this instrument, virtuosos for which may study Charles-Louis Hanon's 60 exercises for it or study Muzio Clementi’s sonatinas.","piano [or pianoforte; or concert piano]","Piano players often practice these “broken” chords that are played one note at a time in rising or descending order.","arpeggios [accept an arpeggiated chord]","Piano players also often practice these musical sequences ordered by pitch up and down the piano. Common types of these sequences include chromatic, major, and minor ones.","scales [accept specific types of scales such as the chromatic scale; or the major scale; or the minor scale] <Auditory Fine Arts — Vincent Wang> [Ed. Ganon Evans]"
"Nanni’s complaint about low-quality copper ingots was written in this ancient writing system, which involves pressing cut reeds into clay to make triangle-shaped marks.","cuneiform [koo-NEE-ih-form]","Ea-Nasir hailed from Babylon, a city in this ancient region home to the Assyrians and Sumerians. This region corresponding to modern-day Iraq is named for being between the Tigris and Euphrates rivers.","Mesopotamia [prompt on Fertile Crescent]","The complaint tablet is held by this museum. Activists have increasingly called for this museum to repatriate artifacts like the Elgin Marbles and Easter Island moai [MOH-eye] which were secured under Queen Victoria.","British Museum <World History — Ganon Evans> [ed. Louis Li]"
"In a disorder named for Philippe Gaucher [go-shay], what organelle is defective, causing macrophages to appear like “tissue paper” due to an inability to process the lipid intermediate gluco•cerebro•side?","lysosome","Gaucher’s disease is caused by a defective one of these compounds that degrades glucocerebroside. These compounds act as catalysts in living organisms.","enzymes [accept hydrolases; prompt on proteins]","During this process, protein-degrading enzymes in the lysosome are released into the cytosol. This process of programmed cell death is contrasted with necrosis.","apoptosis <Biology — Braden Booth> [Ed. June Yin]"
"Name this state home to families such as the Snopes and the Bundrens. An author from this state drew detailed maps of Yoknapatawpha [YOK-nah-pa-TAW-phuh] County, a fictional county located in this state.","Mississippi [accept MS]","Yoknapatawpha County is the setting of many novels by this author of Absalom, Absalom! and The Sound and the Fury.","William (Cuthbert) Faulkner","In this Faulkner novel, a bootlegger named Joe Christmas slits a woman’s throat after she tries to force him to pray. The title of this novel refers to the burning of Joanna Burden’s house.","Light in August <Long Fiction — Max Hodes> [Ed. Joel Miles]"
"Name this crop which was stored as molasses or distilled into rum after being harvested in the Caribbean.","sugarcane","Caribbean sugar plantations were centered on these estates that evolved from the encomienda system and bound workers with debt to the land. Hernán Cortés was the first patrón of one of these estates in Oaxaca [wha-HAH-kuh].","haciendas [accept the hacienda system; accept haciendas azucareras]","On this island, the colono sugar farmer class emerged with the opening of its first sugar mill in 1873. Ponce de León was the first governor of this island, which was defended by a fort called El Morro.","Puerto Rico <World History — Ganon Evans> [Ed. Louis Li]"
"Name this city where the painting The Little Street was produced by the artist of The Milkmaid. Peasants stand near herring boats on a riverbank in a landscape of this city.","Delft [accept View of Delft] (The unnamed artist is Jan Vermeer.)","The Virgin Mary watches over two children playing with a goldfinch in one of this artist’s many landscapes with Madonnas. Plato points a finger in the air while walking in this Renaissance artist’s The School of Athens.","Raphael [or Raffaello Sanzio da Urbino]","Paintings of goldfinches appear alongside the now-extinct passenger pigeon and great auk in this French-American naturalist’s collection Birds of America. A modern bird conservation group is named after him.","John James Audubon [accept the Audubon Society] <Visual Fine Arts — Ganon Evans> [Ed. Gabe Forrest]"
"Name this poet who Anne Carson translated in the collection If Not, Winter. This ancient Greek poet from Lesbos described the title “Deathless…child of Zeus” in “Hymn to Aphrodite.”","Sappho of Lesbos","Anne Carson also wrote about the ancient Greeks in one of these works “of Red,” which opens “He came after Homer and before Gertrude Stein,” referencing an author who wrote one of these works about her lesbian lover.","autobiography [or autobiographical; prompt on biography or biographical; accept Autobiography of Red; accept The Autobiography of Alice B. Toklas]","Anne Carson’s “The Glass Essay” details the speaker’s obsession with this author’s use of the word “whacher” [watcher], and describes reading the part in this author's novel Wuthering Heights “where Heathcliff clings at the lattice in the storm.”","Emily Brontë [prompt on Brontë] <Mixed Literature — Rachel Ezrielev> [Ed. Joel Miles]"
"Name these colonial insects of the family Formicidae. They come in several forms including “workers,” “soldiers,” and “queens.”","ants","This group of ants practice highly sophisticated fungal agriculture using three different types of workers. These ants get their common name from slicing apart a certain food source.","leafcutter ants","Other groups of ants perform “dairy farming” by protecting these sap-sucking insects and harvesting their nutrient-rich honeydew secretion.","aphids [or greenflies or blackflies or Aphidoidea] <Biology — June Yin> [Ed.]"
"Name this music theorist who discovered that halving a string raises its pitch by an octave when struck or plucked after listening to a blacksmith’s hammer.","Pythagoras of Samos","Pythagoras established the perfect fifth as an easy base for this activity. This activity can involve modifying string tightness with pegs to match the pitch of a two-pronged fork.","tuning [accept tuning fork]","Ancient Greeks would study and compose songs called teletai based on this figure. An “Infernal Galop” that was adapted into the Can-Can appears in a Jacques Offenbach opera about this figure.","Orpheus [accept Orpheus in the Underworld] <Auditory Fine Arts — Ganon Evans> [Ed.] Note to players: Description acceptable."
"The cardinalities of different infinite sets can be expressed by a sequence of numbers denoted by this letter. The natural numbers have cardinality “this letter”-zero.","aleph","Sets with cardinality aleph-zero, like the integers and the rational numbers, have this property, since they can be mapped one-to-one to the natural numbers.","countable [or countability; or countably infinite]","Cantor’s diagonal argument shows that the set of these numbers is not countable. These numbers return positive values when squared, as opposed to imaginary numbers.","real numbers <Math — Joy An> [Ed.]"
"In the Book of Revelation, John weeps when Jesus opens the scroll of God’s judgment, revealing him as the “Lion” of this tribe. Solomon and David come from this one of the surviving two tribes of Israel.","Tribe of Judah [accept the Lion of Judah; prompt on Judea]","In contrast, Jesus is also known as this gentler animal of God, as he is the perfect and ultimate sacrifice. Isaiah 53 describes a virtuous servant facing his death like one of these animals led to the slaughter.","lamb [accept the Lamb of God; accept sheep]","Another title for Jesus is the Alpha and the Omega, two letters that are inscribed on a candle lit on this holiday. Maundy Thursday in the week preceding this holiday is celebrated with a foot-washing ceremony.","Easter Sunday <Religion — Vik Wei> [Ed. Ganon Evans]"
"Name this national park located on Mount Desert Island in Maine. The tallest mountain in this national park, Cadillac Mountain, is the first to see the sunrise in the U.S. for parts of the year.","Acadia National Park","Acadia National Park and Bar Harbor lie southwest of this bay that separates New Brunswick and Nova Scotia. The Mi’kmaq people fished in this bay on which Saint John was settled.","Bay of Fundy","The Katahdin Woods north of Acadia is a more popular spot to see these animals. This largest member of the deer family is common in boreal forests on the U.S.-Canada border.","moose [prompt on elk] <Geography — Andrew Gao> [Ed. Ganon Evans]"
"Poe wrote this poem about a bird who repeatedly croaks “Nevermore.” This poem also describes a “pallid bust of Pallas just above my chamber door.”","“The Raven”","This poem by Poe describes the “tintinnabulation” of its title objects that “[Keep] time, time, time, / In a sort of Runic rhyme.” The second line of each stanza in this poem describes those things as “gold,” “silver,” “iron,” and “brazen.”","“The Bells”","In Poe’s short story, “The Murders in the Rue Morgue” C. Auguste Dupin uses “ratiocination” [ra-TEE-oh-sen-AY-shun] to deduce that Madame L'Espanaye was stuffed up a chimney by one of these animals. In another Poe short story, Hop-Frog dresses up royalty as these animals for a masquerade.","orangutans <Mixed Literature — Andrew Gao> [Ed. Joel Miles]"
