bonus part 1 question,bonus part 1 answer,bonus part 2 question,bonus part 2 answer,bonus part 3 question,bonus part 3 answer
"Name this war; in “Chickamauga,” a deaf boy unknowingly sleeps through an 1863 battle that was one of this war’s bloodiest.",American Civil War,"Bierce wrote “What I Saw of” this 1862 Tennessee battle, also called Pittsburg Landing, where he fought.",Shiloh,"In “An Occurrence at” this place, Confederate civilian Peyton Farquhar is executed by the Union for trying to sabotage the title structure.",Owl Creek Bridge
"Most obviously, colonizers sought to assimilate or remove these indigenous people of mainland Australia.",Aboriginal Australians,"In 1859, Thomas Austin released 24 of these animals; within 50 years, WA started building a 2,000‑mile fence to keep them out.",rabbits,"In 1932, WA deployed machine gunners to deal with these flightless birds, leading to the infamous “War.”",emus (Great Emu War)
Name this phenomenon whose vibrations travel through room‑temperature air at roughly 343 m/s.,sound wave(s),The intensity of a sound wave is measured in this logarithmic unit also used in electronics.,decibel (dB),"While moving through air, sound waves are classified as this type, in which the medium moves perpendicular to the wave’s motion.",longitudinal waves (compression waves)
Name this fifth-largest natural satellite in our Solar System that orbits Earth.,Earth’s Moon,Name the hypothesized protoplanet that collided with Earth to form the Moon.,Theia,Name the dark basaltic plains on the Moon’s near side (give Latin or English).,lunar maria (seas)
Name the Christian denomination led by the Pope that Protestants rebelled against during the Reformation.,Catholic (Roman Catholicism),Name the former Catholic friar who posted the Ninety‑Five Theses and founded a namesake denomination.,Martin Luther,Name the church documents sold for the remission of sins that Luther attacked.,indulgences
Name the man who finds a genie in a magic oil lamp in a famous folk tale.,Aladdin,"Name the collection of folk tales that includes Aladdin, Ali Baba, and Sinbad.",One Thousand and One Nights (Arabian Nights),Name the storyteller who narrates the tales to Shahryar in the frame story.,Scheherazade
Name this musical genre exemplified by “The Washington Post” and “The Stars and Stripes Forever.”,military march,Name the American “March King” who composed those pieces.,John Philip Sousa,Name the patriotic symbol that is also the title of another Sousa march kept in Philadelphia.,Liberty Bell
Name the decades‑long forced relocation of Native Americans to ‘Indian Territory.’,Trail of Tears,Name the 7th U.S. President commonly associated with this policy.,Andrew Jackson,Name the U.S. state that ‘Indian Territory’ later became.,Oklahoma
Name the novel narrated by Nick Carraway about a Jazz Age millionaire neighbor.,The Great Gatsby,Name Nick’s cousin in East Egg whom Gatsby loves.,Daisy Buchanan,Name the optometrist on the billboard with giant eyes in the Valley of Ashes.,Dr. T. J. Eckleburg
Name the type of monster the “Living” Marvel character Morbius is.,vampire,Name the actor who played Morbius and also portrayed Joker in Suicide Squad.,Jared Leto,Name the acting approach associated with staying in character on and off set.,Method acting
Name the upward force on objects submerged in a fluid.,buoyant force (buoyancy),Name the ancient Greek who cried “Eureka!” after realizing buoyancy’s use.,Archimedes of Syracuse,Name the simple machine (an inclined plane wrapped around a cylinder) used to raise water.,screw (water screw)
Name the country invaded by Russia in February 2022 that counterattacked around Kharkiv.,Ukraine,Name the President of Ukraine during that invasion.,Volodymyr Zelenskyy,Name the coal‑rich eastern region including Donetsk and Luhansk.,Donbas (Donets Basin)
Name the Aztec emperor who ruled at the time of the Spanish conquest.,Montezuma II (Moctezuma II),Name the modern capital city that now covers the ruins of Tenochtitlan.,Mexico City,Give the Spanish name for Cortés’s disastrous night escape from Tenochtitlan.,La Noche Triste (Night of Sorrows)
"Name the Norse ‘World Tree,’ a giant ash linking the nine realms.",Yggdrasil,Name the realm of humans among the nine realms.,Midgard,Name the colorful sky phenomenon that forms the Bifrost bridge to Asgard.,rainbow
Name the specific geometric quantity computed by 1/2 × base × height.,area of a triangle,"Name the concept used to show Heron’s formula yields area (e.g., area has value 2 for this).",dimension (dimensional analysis),Name the triangle measurement denoted s used in Heron’s formula.,semiperimeter
Name the village where Ichabod Crane meets the Headless Horseman.,Sleepy Hollow,Name the author of “The Legend of Sleepy Hollow” and “Rip Van Winkle.”,Washington Irving,Name the fictional Dutch historian ‘author’ of those tales in The Sketch Book.,Diedrich Knickerbocker
Name the process of cell division that makes two identical daughter cells.,mitosis,Name the mitotic phase after metaphase when chromatids separate.,anaphase,Name the chromosome tips that shorten and limit cell divisions.,telomeres
Name the WWII‑era project that developed the first nuclear bombs.,Manhattan Project,Name the Los Alamos director who quoted “Now I am become Death…” at Trinity.,J. Robert Oppenheimer,Name the Tennessee lab built for the project that remains a key site today.,Oak Ridge National Laboratory
"Name the Elizabethan playwright of The Winter’s Tale and Pericles, Prince of Tyre.",William Shakespeare,Name the Shakespeare comedy where twins named Antipholus (and Dromio) are separated by a storm.,The Comedy of Errors,Name the Shakespeare play in which Prospero conjures a sea storm on an island.,The Tempest
Name the Frenchman who aided Americans and co‑wrote the Declaration of the Rights of Man.,Marquis de Lafayette,Name the 1337–1453 conflict for which an ancestor of Lafayette was named.,Hundred Years’ War,Name the modern kingdom whose current king Philippe descends from Lafayette’s line.,Belgium
"After her assault, Artemisia often painted women doing what to enemies like Holofernes or Sisera?",killing them (murdering; beheading/nailed),Name the Italian city whose Uffizi Gallery houses Judith Slaying Holofernes.,Florence (Firenze),Name the powerful Florentine banking family that patronized Artemisia.,Medici
Name the fossil fuel whose English miners famously struck over pit closures.,coal,Name the British constituent country north of England bordering Cumbria and Northumberland.,Scotland,Name the large historic English county that saw especially strong strikes in 1984.,Yorkshire
"Name the lightest group‑15 element, the most common gas in Earth’s atmosphere (symbol N).",nitrogen,Name the poisonous metalloid two rows below nitrogen used in Emerald Green pigment.,arsenic (As),Name the device used to discover moscovium by bombarding americium atoms.,particle accelerator (cyclotron/collider)
Name the Russian author of The Kreutzer Sonata and Anna Karenina.,Leo Tolstoy,Name Tolstoy’s longest novel about five noble families during Napoleon’s 1812 invasion.,War and Peace,Name Tolstoy’s short novel about a socialite fatally injured while hanging curtains.,The Death of Ivan Ilyich
Give the common name for helminths such as pin‑ and earth‑ varieties.,worms,Name the platyhelminth parasite that can grow over 80 feet in humans.,tapeworm,Name the worm phylum of the model organism C. elegans.,Nematoda (nematodes/roundworms)
"Name the Greek god of prophecy and light, twin of Artemis.",Apollo,Name the Greek site of Apollo’s oracle where the Pythia prophesied.,Delphi (oracle of Delphi),Name the sacred leaves inhaled by the Pythia; Daphne became one of these trees.,laurel (bay laurel)
Name the Mexican general who lost both the Texas Revolution and the Mexican‑American War.,Antonio López de Santa Anna,Name the San Antonio mission where Crockett and Bowie died in March 1836.,the Alamo,Name the subsequent massacre ordered by Santa Anna three weeks later.,Goliad Massacre
Name the singer of “As It Was” who acted in Dunkirk and My Policeman.,Harry Styles,Name the Star Trek actor Styles allegedly spat on at the Don’t Worry Darling premiere.,Chris Pine,Name the director of Don’t Worry Darling whom Styles dated.,Olivia Wilde
Name the 1889 painting with a swirling night sky and crescent moon.,The Starry Night,Name the Dutch artist who painted it a year after losing part of his ear.,Vincent van Gogh,"Name the tall, narrow trees in the painting’s foreground.",cypress trees
"Name the former British city returned to China in 1997 under ‘one country, two systems.’",Hong Kong,Name the river whose delta separates Hong Kong and Macau.,Pearl River (Zhu Jiang),Name the peninsula that forms most of Hong Kong; its Walled City was demolished in the 1990s.,Kowloon (Kowloon Peninsula)
"Give the shared surname of novelists Anne, Charlotte, and Emily who wrote as ‘Bell.’",Brontë,Name Charlotte Brontë’s novel featuring Mr. Rochester and Bertha Mason.,Jane Eyre,Name Emily Brontë’s novel about Heathcliff and the Earnshaws.,Wuthering Heights
"Name the category of tools that include Python, Java, and C++.",programming languages,Name the U.S. Navy rear admiral who pioneered COBOL.,Grace Hopper,Give the term for a flaw in software that Hopper helped popularize.,bug (debugging)
Name the 490 BCE battle that lends its name to a 26‑mile footrace.,Battle of Marathon,Give the Greek term for a spear‑and‑shield infantryman.,hoplite,Name the shield‑wall formation used by Greek infantry.,phalanx
Give the term for 2D polytopes like triangles and quadrilaterals.,polygons,Name the simplest 3D polytope with four triangular faces.,tetrahedron,Give the 4D analogue of the square/cube.,hypercube (tesseract)
Name the Austrian composer of Don Giovanni and Così fan tutte.,Wolfgang Amadeus Mozart,Name the character/barber in the opera that becomes Count Almaviva’s servant.,Figaro (The Marriage of Figaro),Name the opera with the Queen of the Night and Sarastro.,The Magic Flute (Die Zauberflöte)
Name the American poet of “Stopping by Woods on a Snowy Evening.”,Robert Frost,Name the object being repaired in the poem about a boundary with a neighbor.,wall (Mending Wall),Give either of the two words in the title of the poem about world‑ending forces.,fire or ice
Name the engineering project type exemplified by Aswan that can generate hydroelectric power.,dam,Name the country where the Aswan High Dam is located.,Egypt,Name the Egyptian leader for whom the resulting lake is named.,Gamal Abdel Nasser (Lake Nasser)
Name the scale ranking mineral hardness from 1 to 10.,Mohs scale (of mineral hardness),Name the hardest natural material at 10 on the scale.,diamond,"Name the softest mineral at 1 on the scale, used in soapstone.",talc
Name the religion practiced in Haiti and Louisiana with houngans and mambos.,Voodoo (Vodou/Vodun),Name the supreme god whose name comes from French for ‘good god.’,Bondye (Gran Met),Name the percussion instrument (beaded) shaken during ceremonies by high‑ranking clergy.,rattle
Name the German philosopher who co‑wrote The Communist Manifesto.,Karl Marx,Give the term for the working class who have ‘nothing to lose but their chains.’,proletariat (proletarians),Name the central economic concept that titles Marx’s four‑volume treatise.,capital (capitalism)
Name the Roman poet who wrote the Aeneid.,Virgil (Publius Vergilius Maro),Name the poem in which the fictional Virgil guides the protagonist through Hell.,Inferno (from the Divine Comedy),Name the Italian author of the Divine Comedy.,Dante Alighieri
Name the type of reaction in which an atom loses electrons.,oxidation,Name the metal whose oxidized form (oxide) is rust in the thermite reaction.,iron (Fe),Name the equation used to relate reduction potentials to Gibbs free energy at nonstandard conditions.,Nernst equation
Name the U.S. agency that ran COINTELPRO as part of domestic law enforcement.,FBI (Federal Bureau of Investigation),Name the non‑violent civil rights leader the FBI heavily spied on.,Dr. Martin Luther King Jr.,Name the civil rights organization co‑founded by King after the Montgomery bus boycott.,SCLC (Southern Christian Leadership Conference)
"Name these plants, examples of which include orchids and daisies.",flowers,"Using flowers and fruits to spread pollen, rather than using cones or spores, was a key evolutionary advantage that this superphylum gained over its rival gymnosperms.",angiosperms,"Flowers really only evolved as a way of convincing birds and bees to transport pollen from the stamen to this female sex organ of a plant, which is composed of a stigma, an ovary, and a style.",pistils
Name this green-skinned Egyptian ruler of the underworld who was murdered by his brother Set.,Osiris,"This sister-wife of Osiris collected his body parts and put him back together after Set’s attack; after temporarily reviving Osiris, this goddess gives birth to Horus.",Isis,"In some tellings, the body parts of Osiris had symbolic meaning; this part is associated with the djed column or pillar, which symbolizes stability. Egyptian mummies often had djed amulets kept near this body part.",spine
"Name this Revolutionary War general who, in the Wheatley poem, is told to lead “Columbia” to victory for “freedom’s cause.”",George Washington,"“To His Excellency, General Washington” is by this early American poet, who was emancipated from slavery after the publication of her collection Poems on Various Subjects, Religious and Moral.",Phillis Wheatley,One of Wheatley’s short poems reflects “On Being Brought from” this continent “to America.” Wheatley was trafficked from this continent as a child as part of the slave trade.,Africa
An annual migration of hundreds of thousands of zebras and wildebeests takes place in this region of East Africa; the world’s largest wild lion population lives within the national park of the same name.,Serengeti,"Just east of Serengeti National Park is a UNESCO World Heritage Site protecting one of these geographic landforms called Ngorongoro, which formed from the collapse of a volcano.",crater,"The Serengeti and Ngorongoro national parks are found in this East African country whose capital is now Dodoma, having moved last century from Dar es Salaam.",Tanzania
"Name this queen who very likely never proclaimed “Let them eat cake,” contrary to the popular myth.",Marie Antoinette,"Marie Antoinette and her husband, Louis XVI, were executed in the wake of this revolution, which began in 1789 at the Bastille prison complex.",French Revolution,"Marie Antoinette married Louis while he held this position, the heir apparent of pre-Revolutionary France, a title sharing a name with an animal on his arms.",dauphin
"An object’s rotational motion can be changed by this quantity, the rotational analog of a force; because a lever can cause an object to move around an axis, it applies this kind of twisting force.",torque,"A moving object has this quantity, computed as mass times velocity; for rotation, the angular type equals moment of inertia times angular velocity.",momentum,"While spinning at over 1,000 RPM, this piece of lab equipment can separate plasma from the rest of the blood; name the device or the similarly named fictitious force on which it relies.",centrifuge
Name this novel by Mary Shelley in which the title scientist describes being terrified by a humanoid “monster” he creates in his lab.,Frankenstein,"Frankenstein is subtitled for the “Modern” version of this mythical Greek figure, since Victor’s introducing a dangerous scientific advancement to humanity is similar to what this Titan did for humans.",Prometheus,"Victor Frankenstein’s meddling causes him to abandon his creation, who becomes bitter and murders this woman, Frankenstein’s wife.",Elizabeth Lavenza
Give the following about colleges whose athletic conference memberships make absolutely no sense: the Big Ten added two schools from this U.S. state in 2022; name either school.,"University of Southern California or University of California, Los Angeles","Most full ACC members are at least close-ish to the Atlantic, but the Cardinals of this university in north-central Kentucky are big offenders.",University of Louisville,"The Atlantic 10 includes the University of Dayton in this non‑Atlantic state, as well as Loyola University Chicago and Saint Louis University.",Ohio
Sculptures like Old Arrow Maker and Minnehaha were inspired by Edmonia Lewis’s one‑quarter heritage from this American ethnicity.,Native American,"Edmonia Lewis stunned attendees at the 1876 Centennial Exposition with her sculpture The Death of this Egyptian queen, who killed herself with an asp after the death of Mark Antony.",Cleopatra,"In another sculpture, Lewis depicted this biblical woman folding her hands in prayer as an empty water jug sits at her feet after she was sent into the desert with her son Ishmael.",Hagar
Name this man who was hanged for treason after carrying out a raid on a federal arsenal at Harpers Ferry.,John Brown,"The Pottawatomie Massacre took place in this U.S. state, said to be “Bleeding” from the quantity of slavery‑related rioting that took place before the Civil War.",Kansas,"The Pottawatomie Massacre took place three nights after pro‑slavery forces sacked this Kansas town, destroying anti‑slavery newspaper offices and accidentally killing one man.",Lawrence
"Name this Victorian boy who asks for gruel by saying, “please sir, I want some more,” while living in a poorhouse.",Oliver Twist,"Oliver Twist is by this English author, who also wrote about poor children in Great Expectations.",Charles Dickens,"Oliver goes to work with Fagin’s gang when recruited by this boy, whose real name is Jack Dawkins.",The Artful Dodger
Name these devices that provide an open flame in a laboratory; they were invented by and named for a German chemist.,Bunsen burners,"Bunsen burners are fed by this fossil fuel, mainly composed of methane but tainted with small amounts of sulfides so it can be smelled.",natural gas,The safe way to heat a metal under a Bunsen burner is to place it in one of these round porcelain containers that are extremely heat‑resistant.,crucibles
Name this group of Chinese Communist Party officials whose influence peaked during the Cultural Revolution.,Gang of Four,"One of the Gang of Four, Jiang Qing, was the widow of this Chairman of the CCP, who died in 1976.",Mao Zedong,"During the Cultural Revolution, students wearing this color of armband formed a paramilitary group embraced by Mao, then shunned as they became too left‑wing.",red
"Name this man who learns about the will of Allah from al‑Khidr and who, in the book of Leviticus, receives numerous holy laws from Yahweh.",Moses,"Before receiving the laws outlined in Leviticus, Moses receives this short set of rules from Yahweh atop Mount Sinai.",Ten Commandments,"Earlier in his life, Moses follows Yahweh’s instructions to part and then close this waterway while he leads the Israelites out of Egypt.",Red Sea
Hugo Duminil‑Copin is a French mathematician who specializes in applying this field of math to physics; statisticians study it to assign likelihoods between 0 and 1.,probability,"Ukraine’s Maryna Viazovska solved the optimization problem of packing these shapes in 8‑D and 24‑D space; in 3‑D, their volume equals four‑thirds times pi times the radius cubed.",spheres,"English number theorist James Maynard built on Yitang Zhang’s study of twin primes, which are pairs of prime numbers that differ by this value.",two
This first artificial satellite to orbit Earth was launched in October 1957; it broadcast a beeping radio signal for three weeks.,Sputnik 1,"In 1957, this dog was picked up off the streets of Moscow and became the first creature to orbit the Earth, flying aboard Sputnik 2.",Laika,"In 1961, Yuri Gagarin became the first human in space, flying aboard this spacecraft.",Vostok 1
"Name this modern country whose 1947 independence from Britain was fictionalized in the novel Midnight’s Children, which is partially set in Mumbai.",India,This Indian‑born author wrote Midnight’s Children and was nearly‑fatally stabbed in a 2022 attack.,Salman Rushdie,"Rushdie’s attack came decades after he wrote this novel, in which Gibreel Farishta and Saladin Chamcha survive the explosion of an airplane.",The Satanic Verses
Name this incredibly anti‑Semitic American industrialist whose use of the assembly line greatly boosted his factories’ output of Model T cars.,Henry Ford,"This Michigan town, Ford’s birthplace and home of the River Rouge factory and Ford HQ, was named for him and today has America’s largest Muslim population.",Dearborn,Ford’s business schemes included building Fordlandia in Brazil to produce this key material for car production.,rubber
"Name this astrologically inspired orchestral suite that opens with “Mars, the Bringer of War.”","The Planets, Opus 32","This English composer, who taught at St. Paul’s and was thus able to arrange the choir on very short notice, composed The Planets.",Gustav Holst,Holst omitted this dwarf planet because Clyde Tombaugh was still over a decade away from discovering it.,Pluto
"Give the linguistic term for a sound of speech made with an open vocal tract; these sounds are contrasted with consonants, in which the tract is constricted or closed at some point.",vowels,Some vowel sounds like the “oy” in “toy” are made up of two gliding vowel sounds; give this term from the Greek for “two sounds.”,diphthongs,"Diphthongs are written using two symbols in this standardized alphabet, whose basic set of 107 letters and 52 diacritics is used to standardize pronunciation.",International Phonetic Alphabet
Give this term for an electrical network in which current can flow in a closed loop.,electrical circuits,"In a circuit, this device uses semiconducting material to either amplify or switch the signal; a handheld radio named for them popularized them.",transistors,This circuit element is displayed as two parallel lines causing a gap in the wire; its stored charge is measured in farads.,capacitors
"Name this Eastern European capital city, home of Nicolae and Elena Ceaușescu until they fled amidst a 1989 anti‑Communist revolution.",Bucharest,Bucharest is the capital of this Eastern European country.,Romania,Nicolae and Elena Ceaușescu were executed on this holiday in 1989; Mikhail Gorbachev resigned on the same day two years later.,Christmas Day
"Name this Shakespeare character, a count of Verona who dies at the tomb of his fiancée, the daughter of Lord Capulet.",Count Paris,Count Paris is a victim of the feud between the Montagues and Capulets in this play about a pair of “star‑cross’d lovers.”,Romeo and Juliet,Paris is a relative of this friend of Romeo who is killed by Tybalt earlier in the play.,Mercutio
Name this British baking competition show in which bakers compete in a tent each week.,The Great British Bake Off,Greg Davies and Alex Horne present this show in which five comedians complete ridiculous assignments like “eat the most watermelon in one minute.”,Taskmaster,"In this game show with a successful American spinoff, trivia experts like Victoria Groce and James Holzhauer try to catch contestants to stop them winning money.",The Chase
"In 1972, Walter Mischel studied delayed gratification by putting one of these sweet treats in a room with a child and telling them waiting would get them an extra one.",marshmallow,This professor randomly assigned volunteers as prisoners or guards in a simulated prison before Christina Maslach convinced him to stop it.,Philip Zimbardo,Both the 1972 marshmallow test and Zimbardo’s experiment were conducted by this elite private university in California.,Stanford University
Name this Italian Renaissance sculptor who included a horned Moses and a Rebellious Slave and Dying Slave for Julius II’s tomb.,Michelangelo,Julius II was the “warrior” one of these religious leaders; Michelangelo earned commissions from several of them.,Pope,Julius II commissioned Michelangelo to paint the walls and ceiling of this chapel in the Vatican’s Apostolic Palace.,Sistine Chapel
Name these web‑spinning creatures associated with the trickster Iktómi in Native American tales.,spider,Iktómi appears in tales of this Native American people who make up the Sioux along with the Dakota.,Lakota,Other Native religions feature this cunning character named for and behaving like a common wild canine.,Coyote
"Name this judicial position, the leader of the highest court of the United States.",Chief Justice of the Supreme Court,This man succeeded John Marshall as Chief Justice in 1836 and wrote the notorious Dred Scott opinion.,Roger Taney,Give the full case name of the 1857 case that struck down the Missouri Compromise and ruled African‑Americans weren’t protected by the Constitution.,Dred Scott v. Sandford
"Name this type of inflammation whose most common forms, A and B, are due to viral infection.",hepatitis,Hepatitis is the inflammation of this largest internal body organ; alcohol abuse can lead to its cirrhosis.,liver,The tell‑tale sign of liver damage is this yellowing of the skin and eyes from accumulated bilirubin.,jaundice
Name this sixteenth‑century novel in which Sun Wu‑kong helps a Tang Dynasty monk travel to India for holy sutras.,Journey to the West,"Journey to the West is one of the Four Great Classical Novels of this Asian country, where it was written during the Ming Dynasty.",China,"In English translations, Sun Wukong’s name is often translated as this animal; he is the “king” of these playful, ape‑like animals.",monkey
"Give the technical term for “un‑doing” a mathematical operation, or for the object that does the “un‑doing.”",inverse,This term describes the multiplicative inverse of a number; 1 divided by a number gives this value.,reciprocals,"The Greek letter phi symbolizes this number, the only positive number equal to “its reciprocal plus 1.”",golden ratio
Name this medieval‑era West African empire founded by Sundiata Keita and ruled by Musa I; a modern country shares its name.,Mali Empire,Rulers of the Mali Empire like Musa I were given this Mandinka title for king or emperor.,Mansa,"Cities of the Mali Empire included Gao, Niani, and this trade hub, home of the University of Sankore.",Timbuktu
Name this American poet who frequently edited and republished his collection Leaves of Grass.,Walt Whitman,"Whitman wrote about his “barbaric yawp” in this long poem in which he declares, “I celebrate myself.”",Song of Myself,“The great star early droop’d in the western sky” in a Whitman poem named for these springtime flowers with “heart‑shaped leaves of rich green.”,Lilacs
"Name this process in which gases in the atmosphere trap radiative heat, causing the Earth’s temperature to rise.",greenhouse effect,"When the surface temperature is higher, this kind of cause‑and‑effect loop strengthens the greenhouse effect and leads to more of the cause.",positive feedback loop,"An atmospheric layer of this important greenhouse gas, which consists of three atoms of oxygen, insulates the Earth from UV radiation.",ozone
"Name the Rodgers and Hammerstein musical that essentially invented the dream ballet, ending with Laurey realizing she loves Curly, not Jud.",Oklahoma!,Gillian Lynne choreographed the Jellicle Ball in this Andrew Lloyd Webber musical whose roles include Skimbleshanks.,Cats,Bob Fosse’s signature jazz hands are used throughout this musical in which Roxie Hart and Velma Kelly try to get acquitted of murder in Illinois.,Chicago
Joseph Glidden invented an efficient form of this type of steel wire whose jagged points kept cattle contained at low cost.,barbed wire,This term describes a lifestyle of self‑sufficient agriculture and domestic life; it’s also the name of an 1862 act allowing people to purchase up to 160 acres if they improved the land.,homesteading,"This 1887 act subdivided communal Native land into individual allotments, imposing capitalism on several tribes.",Dawes Act of 1887
"Name this primary method of measuring a solution’s concentration, defined as moles of solute divided by liters of solution.",molarity,Molality replaces “liters of solution” with the mass of the solute measured in these SI base units.,kilogram,"Molality is useful for boiling point elevation, which is one of these properties that depend on solute concentration but not identity.",colligative properties
Name this Mesoamerican civilization whose myths and history are recorded in the Popol Vuh; they built Chichen Itza.,Mayan civilization,Hunahpu and Xbalanqué are one of several heroic pairs in American mythologies that have this familial relationship.,twins,"In the myth, the Hero Twins are summoned to this Mayan underworld to play the ball game and trick the lords into being sacrificed.",Xibalba
"Name this North Atlantic island, the site of Eyjafjallajökull and numerous other volcanoes, geysers, and hot springs.",Iceland,Almost all of Iceland’s energy production is renewable; it has ample sources of hydroelectric power and this type of power generated by its hot springs and geysers.,geothermal energy,"More than half of Iceland’s population lives in this city, the northernmost world capital.",Reykjavik
Name this disease that spread across Europe in the 1300s with the help of rat fleas.,plague,Giovanni Boccaccio wrote this short story collection in which young nobles gather to tell stories while fleeing the Black Death in Florence.,The Decameron,"In “The Patient Griselda,” Gualtieri tests his wife’s suitability by claiming he has killed two people with this relationship to her.",her children
